Reihe;Nummer;Bereich
A;1;C
A;2;C
A;3;C
A;4;C
A;5;C
A;6;C
A;7;C
A;8;C
A;9;C
A;10;C
A;11;C
A;12;C
A;13;C
A;14;C
A;15;C
A;16;C
A;17;C
A;18;C
A;19;C
A;20;C
A;21;C
A;22;C
A;23;C
B;1;C
B;2;C
B;3;C
B;4;C
B;5;C
B;6;C
B;7;C
B;8;C
B;9;C
B;10;C
B;11;C
B;12;C
B;13;C
B;14;C
B;15;C
B;16;C
B;17;C
B;18;C
B;19;C
B;20;C
B;21;C
B;22;C
B;23;C
C;1;C
C;2;C
C;3;C
C;4;C
C;5;C
C;6;C
C;7;C
C;8;C
C;9;C
C;10;C
C;11;C
C;12;C
C;13;C
C;14;C
C;15;C
C;16;C
C;17;C
C;18;C
C;19;C
C;20;C
C;21;C
C;22;C
C;23;C
D;1;C
D;2;C
D;3;C
D;4;C
D;5;C
D;6;C
D;7;C
D;8;C
D;9;C
D;10;C
D;11;C
D;12;C
D;13;C
D;14;C
D;15;C
D;16;C
D;17;C
D;18;C
D;19;C
D;20;C
D;21;C
D;22;C
D;23;C
D;25;C
D;27;C
E;1;C
E;2;C
E;3;C
E;4;C
E;5;C
E;6;C
E;7;C
E;8;C
E;9;C
E;10;C
E;11;C
E;12;C
E;13;C
E;14;C
E;15;C
E;16;C
E;17;C
E;18;C
E;19;C
E;20;C
E;21;C
E;22;C
E;23;C
E;24;C
E;25;C
E;26;C
E;27;C
F;1;C
F;2;C
F;3;C
F;4;C
F;5;C
F;6;C
F;7;C
F;8;C
F;9;C
F;10;C
F;11;C
F;12;C
F;13;C
F;14;C
F;15;C
F;16;C
F;17;C
F;18;C
F;19;C
F;20;C
F;21;C
F;22;C
F;23;C
F;24;C
F;25;C
F;26;C
F;27;C
G;1;C
G;2;C
G;3;C
G;4;C
G;5;C
G;6;C
G;7;C
G;8;C
G;9;C
G;10;C
G;11;C
G;12;C
G;13;C
G;14;C
G;15;C
G;16;C
G;18;C
G;20;C
G;22;C
G;24;C
G;26;C
G;28;C
H;1;D
H;2;D
H;3;D
H;4;D
H;5;D
H;6;D
H;7;D
H;8;D
H;9;D
H;10;D
H;11;D
H;12;D
H;13;D
H;14;C
H;15;D
H;16;C
H;17;C
H;18;C
H;19;C
H;20;C
H;21;C
H;22;C
H;23;C
H;24;C
H;25;C
H;26;C
H;27;C
H;28;C
H;29;E
H;30;E
H;31;E
H;32;E
H;33;E
H;34;E
H;35;E
H;36;E
H;37;E
H;38;E
H;39;E
H;40;E
